year,per,pbr,mcap_krw
2016,11.407445858945223,1.3598234092816468,253504165274000.0
2017,8.497072045033148,1.587459774863226,328942962712000.0
2018,5.989784863024299,0.9623507884043984,231030584685000.0
2019,17.62476310802274,1.3067620559728128,333113866290000.0
2020,21.088258266076544,1.8065221675614096,483552386550000.0
2021,13.553747619871906,1.5779017268858933,467433973665000.0
2022,6.86359687228497,0.956379572778446,330128975015000.0
2023,36.83716564992961,1.326679279678168,468627930175000.0
2024,10.747474747474747,0.810830951062804,317592431660000.0
2025,18.27,1.87,709764586847800.0
2026,10.53,3.07,1281110280165474.0
2027,9.8,2.91,1335997162978258.0
